sequence,1,2,3,4
12a8819c8b1718f80b5f6c2623e5c769,-2.1803213935385584,3.2901431351838197,3.9543914974155525, p__Acidobacteria
12afcc07fca2efc2074c09c3db585d84,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Proteobacteria
12deb7459c5c88f32da4ad272f0c9adf,-4.772484052289056,0.34100604609826274,3.9023457790034306, p__Acidobacteria
13445cbfd86e4db93b1659d3c2ff298d,-1.4781970536818665,4.073386590619915,3.9016201299592574, p__Firmicutes
137f257dbb7b1932bbdf81e0264155ff,19.296661988609,-2.8666680831623643,12.803810623861173, p__Actinobacteria
139ad0b0f6e5ec3476a6b233fbb3ff18,-4.259227973157251,-0.7726675455373375,5.690777479420138, p__Proteobacteria
13e2f3b1a5ae4789cd399922fe9fa36d,14.207723122734476,-0.5210400417474427,13.368994954039511, p__Acidobacteria
13eae819c7273c36d87d144857645f86,5.626456611418675,-5.768113401708011,10.500449342277296, p__Acidobacteria
13f0993e00feeaa5024957c19269ed2e,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Acidobacteria
1410a1674d54b7ecc2b8315335dac024,-5.78284899598734,-4.888409261677706,6.576187914368382, p__Acidobacteria
145386cf3af0e933ccb5edae1946f126,45.57490062662892,0.6571636480639729,-13.974459478892932, p__Actinobacteria
